275580.00,-0.53,-6.56,-0.07
275581.00,-0.54,-6.34,0.08
275582.00,-0.83,-6.39,-0.02
275583.00,-1.10,-6.48,-0.01
275584.00,-0.82,-6.41,0.07
275585.00,-0.68,-6.52,-0.01
275586.00,-0.31,-6.63,-0.19
275587.00,-0.68,-6.26,0.11
275588.00,-0.39,-6.52,-0.12
275589.00,-0.68,-6.50,-0.07
275590.00,-0.55,-6.40,0.04
275591.00,-0.18,-6.54,0.02
275592.00,-0.39,-6.54,-0.06
275593.00,-0.67,-6.37,0.02
275594.00,-0.84,-6.46,0.05
275595.00,-0.79,-6.54,-0.03
275596.00,-0.44,-6.35,0.01
275597.00,-0.53,-6.38,0.04
275598.00,-0.60,-6.50,-0.00
275599.00,-0.50,-6.35,0.10
275600.00,0.16,-6.59,-0.06
275601.00,-0.02,-6.55,0.01
275602.00,-0.50,-6.28,0.05
275603.00,-0.59,-6.46,-0.01
275604.00,-0.65,-6.64,-0.07
275605.00,-0.45,-6.43,0.00
275606.00,-0.52,-6.49,0.04
275607.00,-0.92,-6.36,0.04
275608.00,-1.19,-6.20,0.07
275609.00,-1.14,-6.33,0.14
275610.00,-1.15,-6.48,-0.02
275611.00,-0.68,-6.41,-0.19
275612.00,-0.72,-6.40,-0.02
275613.00,-0.78,-6.46,-0.05
275614.00,-0.92,-6.31,0.02
275615.00,-1.00,-6.50,0.03
275616.00,-0.73,-6.63,-0.06
275617.00,-0.42,-6.43,-0.00
275618.00,-0.06,-6.51,-0.05
275619.00,-0.40,-6.48,0.03
275620.00,-0.36,-6.47,-0.08
275621.00,0.02,-6.55,-0.03
275622.00,-0.24,-6.52,-0.00
275623.00,-0.71,-6.28,0.02
275624.00,-0.66,-6.48,0.03
275625.00,-0.74,-6.53,0.05
275626.00,-0.48,-6.36,-0.02
275627.00,-0.15,-6.42,-0.00
275628.00,-0.62,-6.33,0.07
275629.00,0.14,-5.95,-0.02
275630.00,0.69,-5.72,0.00
275631.00,0.07,-5.86,0.07
275632.00,-0.57,-5.35,0.14
275633.00,-0.41,-5.04,-0.03
275634.00,1.26,-4.67,-0.13
275635.00,3.01,-3.85,-0.05
275636.00,4.16,-3.34,0.07
275637.00,4.92,-2.66,0.17
275638.00,5.61,-1.38,0.14
275639.00,5.92,-0.64,0.06
275640.00,6.19,0.15,0.04
275641.00,6.07,-0.00,0.04
275642.00,6.24,-0.23,0.04
275643.00,6.42,-0.09,0.02
275644.00,6.24,-0.02,0.03
275645.00,6.36,0.12,0.07
275646.00,6.44,-0.14,0.09
275647.00,6.33,0.02,0.07
275648.00,6.45,0.36,0.02
275649.00,6.44,-0.17,0.05
275650.00,6.33,-0.16,0.07
275651.00,6.51,-0.20,0.02
275652.00,6.57,-0.16,0.05
275653.00,6.37,0.12,0.05
275654.00,6.44,0.07,0.08
275655.00,6.38,-0.01,0.03
275656.00,6.51,0.04,0.03
275657.00,6.62,0.12,-0.02
275658.00,6.43,-0.32,-0.01
275659.00,6.53,-0.36,-0.04
275660.00,6.60,-0.55,-0.05
275661.00,6.45,-0.31,-0.04
275662.00,6.52,-0.27,-0.03
275663.00,6.56,-0.51,-0.02
275664.00,6.36,-0.45,-0.02
275665.00,6.45,-0.28,-0.02
275666.00,6.59,0.58,-0.04
275667.00,6.25,0.88,-0.04
275668.00,6.45,0.61,-0.04
275669.00,6.61,0.06,-0.08
275670.00,6.52,-0.41,-0.10
275671.00,6.65,0.04,-0.08
275672.00,6.61,0.29,-0.09
275673.00,6.29,-0.02,-0.05
275674.00,6.48,0.02,-0.06
275675.00,6.59,0.36,-0.07
275676.00,6.33,0.86,-0.09
